identifier,statement_code,description,academic_subject,grade_level,statement_type
933d5ff7-3802-48ef-8ff9-73bfa622a403,DALE-MA.4-5.informar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar información para...
* transmitir ideas y conceptos clave
* aplicar conceptos matemáticos a situaciones de la vida real
* agregar detalles que sirven para definir problemas matemáticos
* organizar el contenido de textos multimodales
* representar conceptos y soluciones a problemas matemáticos
* integrar detalles precisos mediante la estructura matemática",English Language Arts,"['4', '5']",Standard
0da660c3-ffea-4d50-a8a2-29875287627e,DALE-CS.6-8.argumentar.interactivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interactuar con otros (personas y medios) sobre argumentos para...
* analizar información fundamentada con evidencia de múltiples fuentes
* debatir varias perspectivas
* intercambiar posturas y contra posturas con el uso de evidencia y razonamiento
* comparar la relevancia de fundamentos con las intenciones del autor
* formar secuencias de eventos y sus impactos en la sociedad
* criticar la credibilidad de evidencia",English Language Arts,"['6', '7', '8']",Standard
7f01d371-df77-4c1b-85e5-3889780870ae,DALE-SA.K.explicar.interactivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interactuar con otros (personas y medios) sobre explicaciones para...
* dialogar sobre los procesos que se siguen al aprender
* acordar cómo elegir, usar y solucionar problemas con las tecnologías actuales
* compartir reacciones a situaciones o eventos
* determinar etapas o pasos en procedimientos
* encontrar similitudes y diferencias entre objetos o conceptos
* intercambiar ideas y sugerencias",English Language Arts,['K'],Standard
9aed4885-807d-4749-878f-3a28192b44ec,DALE-CS.6-8.argumentar.interpretativo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interpretar argumentos para...
* evaluar información fundamentada con evidencia de múltiples fuentes
* distinguir entre varias perspectivas
* determinar posturas y contra posturas mediante evidencia y razonamiento
* conectar la relevancia de los fundamentos con las intenciones del autor
* asociar secuencias de eventos con sus impactos en la sociedad
* contemplar la credibilidad de evidencia",English Language Arts,"['6', '7', '8']",Standard
20513fcb-b093-4458-83b6-a0f10dfa5aae,CD.2-12.ORA.N3,"Hacia el final de cada nivel de desempeño lingüístico, con los apoyos apropiados, los estudiantes bi/multilingües podrán…Entender y demostrar cómo se crean, conectan y extienden mensajes (orales, escritos y multimodales) a través de… Oraciones simples o coordinadas con uso de convenciones apropiadas a ciertos modos y contextos.",English Language Arts,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",Other
0c894ebb-dbf6-42ca-9e59-b3de03d99096,DALE-CS.K.informar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar información para...
* describir temas relacionados a preguntas
* proveer detalles relevantes
* listar o nombrar atributos y características de artefactos
* manifestar opiniones sobre sus derechos y responsabilidades
* hacer preguntas apropiadas para la exploración",English Language Arts,['K'],Standard
89877041-9438-4371-b76c-e62baec3b38d,DALE-AL.4-5.argumentar.interpretativo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interpretar argumentos para...
* determinar el tema presentado en textos multimodales bilingües
* reconocer el lenguaje que crea un estilo formal
* comprender de forma lógica las opiniones con la evidencia, los hechos y los detalles de apoyo en textos multimodales bilingües
* identificar las opiniones y argumentos en textos multimodales bilingües
* evaluar las fuentes de evidencia para apoyar puntos de vista en textos multimodales bilingües",English Language Arts,"['4', '5']",Standard
1d03757c-3642-4911-9955-7681fa8a03ed,CD.K-1.PF.N5,"Hacia el final de cada nivel de desempeño lingüístico, con los apoyos apropiados, los estudiantes bi/multilingües podrán…Entender y demostrar cómo se crean mensajes precisos (orales, escritos y multimodales) a través de…Palabras y frases específicas de acuerdo con el contexto y la disciplina.",English Language Arts,"['K', '1']",Other
93fdb8eb-6f33-4dcf-967a-1b0fdc4e50ae,DALE-AL.1.relatar.interactivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interactuar con otros (personas y medios) sobre relatos para...
* acordar la información que ayuda a la audiencia a orientarse a cuentos o historias
* analizar los eventos en historias
* determinar mensajes centrales a través de detalles clave
* decidir qué ajustes hacer para cautivar a la audiencia
* generar y contestar preguntas de los detalles clave en cuentos bilingües
* comparar las emociones evocadas",English Language Arts,['1'],Standard
6e1fef9c-3494-4d9c-a88e-33148a2db44d,DALE-SA.2-3.explicar.interpretativo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interpretar explicaciones para...
* considerar ideas y pensamientos iniciales
* dilucidar ciclos en diagramas, pasos en procedimientos o causas y consecuencias
* determinar las similitudes y diferencias de objetos o conceptos
* deducir ideas y sugerencias
* actuar a base de la retroalimentación de otros
* identificar los procedimientos para afrontar conflictos y sus emociones asociadas
* formar objetivos de aprendizaje personal",English Language Arts,"['2', '3']",Standard
51863220-5130-416a-9b6c-382466e1b9fd,DALE-SA.4-5.relatar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar relatos para...
* describir problemas y situaciones del mundo real
* comunicar emociones y sentimientos sin generar conflicto
* desarrollar ideas y perspectivas de una variedad de orígenes y culturas, incluso de otros estudiantes bi/multilingües
* complementar historias con imágenes y representaciones para ampliar su significado
* resumir ideas presentadas durante un diálogo
* concluir a través de un cierre, un resumen y/o pasos a seguir",English Language Arts,"['4', '5']",Standard
fa64a85b-b8a6-4ba7-8882-71f8b1ad1c86,DALE-AL.9-12.informar.interactivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interactuar con otros (personas y medios) sobre información para...
* decidir cómo abordar temas y/o entidades para una variedad de audiencias y propósitos
* analizar la objetividad o neutralidad de posturas
* negociar opiniones sobre la precisión, detalles y claridad acerca de atributos, comportamientos y relaciones conceptuales complejas
* proveer retroalimentación sobre la coherencia y cohesión en textos multimodales bilingües
* evaluar la integración, comparación y síntesis de ideas de textos multimodales y multiculturales producidas a través de las investigaciones
* discutir omisiones y/o alusiones significativas en textos multimodales bilingües",English Language Arts,"['9', '10', '11', '12']",Standard
2009f2a3-5d93-417d-aa5a-afcb6371fd07,DALE-MA.1.explicar.interpretativo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interpretar explicaciones para...
* dilucidar el pensamiento matemático propio
* crear soluciones a problemas matemáticos
* precisar datos y/o procesos para resolver problemas
* reflexionar sobre el razonamiento utilizado para generar soluciones propias o alternativas
* identificar preguntas de problemas matemáticos
* determinar puntos de partida para la resolución de problemas matemáticos",English Language Arts,['1'],Standard
b2862250-9206-41de-917e-90e6d17993d1,DALE-CS.1.informar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar información para...
* introducir temas asociados con problemas o preguntas de investigación
* proveer detalles sobre aspectos y conceptos de las ciencias sociales
* describir atributos, características y cualidades de evidencia y fuentes de investigación
* ilustrar problemas de su comunidad
* aclarar cómo las personas juegan roles importantes en una comunidad",English Language Arts,['1'],Standard
7efc897e-17f3-4b46-9c5e-d9762a10b325,DALE-CN.4-5.informar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar información para...
* describir observaciones y fenómenos
* comunicar el conocimiento, habilidades y valores científicos
* establecer posturas neutrales u objetivas al comunicar información
* definir procesos, conceptos o teorías
* comunicar criterios de diseño y procesos analíticos a través de múltiples modalidades
* presentar datos científicos a través de diferentes fuentes y actividades",English Language Arts,"['4', '5']",Standard
743b345d-4d6d-4783-bc5b-a891ed8bede5,DALE-AL.K.explicar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos
multimodales, los estudiantes bi/multilingües podrán expresar explicaciones para...
* presentar un tema
* describir cómo funciona u ocurre algo
* aclarar sus pensamientos
* agregar detalles
* definir relaciones entre personajes y eventos
* explorar el desarrollo de identidades lingüísticas y culturales",English Language Arts,['K'],Standard
