standard_id,prerequisite_id,prerequisite_code
6ba02461-d7cc-11e8-824f-0242ac160002,6b9e8595-d7cc-11e8-824f-0242ac160002,HSS-IC.B.3
6ba02461-d7cc-11e8-824f-0242ac160002,6b9f235a-d7cc-11e8-824f-0242ac160002,HSS-IC.B.4
6ba02461-d7cc-11e8-824f-0242ac160002,6b9f7a96-d7cc-11e8-824f-0242ac160002,6.SP.B.5
6ba02461-d7cc-11e8-824f-0242ac160002,6b9fb424-d7cc-11e8-824f-0242ac160002,HSS-IC.B.5
6b9ff310-d7cc-11e8-824f-0242ac160002,6b9d6298-d7cc-11e8-824f-0242ac160002,6.EE.A.2
6b9dd100-d7cc-11e8-824f-0242ac160002,6b9ca104-d7cc-11e8-824f-0242ac160002,K.OA.A.1
6b9d59e4-d7cc-11e8-824f-0242ac160002,6b9c1708-d7cc-11e8-824f-0242ac160002,5.NBT.A.1
6b9ef36a-d7cc-11e8-824f-0242ac160002,6b9d7951-d7cc-11e8-824f-0242ac160002,7.RP.A.2
6b9ef36a-d7cc-11e8-824f-0242ac160002,6b9e5396-d7cc-11e8-824f-0242ac160002,8.F.A.3
6b9d91e7-d7cc-11e8-824f-0242ac160002,6b9c57c7-d7cc-11e8-824f-0242ac160002,HSA-REI.A.1
6b9d91e7-d7cc-11e8-824f-0242ac160002,6b9db867-d7cc-11e8-824f-0242ac160002,HSN-RN.A.2
6b9ef0eb-d7cc-11e8-824f-0242ac160002,6b9c4078-d7cc-11e8-824f-0242ac160002,8.EE.A.1
6b9ef0eb-d7cc-11e8-824f-0242ac160002,6b9e464c-d7cc-11e8-824f-0242ac160002,7.EE.B.3
6b9c6a73-d7cc-11e8-824f-0242ac160002,6b9db04d-d7cc-11e8-824f-0242ac160002,HSG-SRT.A.2
6b9c3d7d-d7cc-11e8-824f-0242ac160002,6b9c2e34-d7cc-11e8-824f-0242ac160002,6.SP.A.1
6b9c3d7d-d7cc-11e8-824f-0242ac160002,6b9d6d44-d7cc-11e8-824f-0242ac160002,6.SP.A.2
6b9c3d7d-d7cc-11e8-824f-0242ac160002,6b9f803d-d7cc-11e8-824f-0242ac160002,7.SP.C.5
6b9ebf9b-d7cc-11e8-824f-0242ac160002,6b9be86e-d7cc-11e8-824f-0242ac160002,2.NBT.A.1
6ba0b1df-d7cc-11e8-824f-0242ac160002,6b9f74c0-d7cc-11e8-824f-0242ac160002,6.EE.B.5
6ba0b1df-d7cc-11e8-824f-0242ac160002,6b9fff6f-d7cc-11e8-824f-0242ac160002,8.EE.B.6
6ba0b1df-d7cc-11e8-824f-0242ac160002,6ba1361d-d7cc-11e8-824f-0242ac160002,7.EE.B.4.a
6b9be86e-d7cc-11e8-824f-0242ac160002,6b9d22e5-d7cc-11e8-824f-0242ac160002,1.NBT.B.2
6b9be86e-d7cc-11e8-824f-0242ac160002,6b9d2e64-d7cc-11e8-824f-0242ac160002,2.NBT.A.2
6ba12b02-d7cc-11e8-824f-0242ac160002,6b9d400d-d7cc-11e8-824f-0242ac160002,3.NF.A.2
